location_i,borough,zone,latitude,longitude,shape_area,shape_leng
71,Brooklyn,East Flatbush/Farragut,-73.93773458,40.64392875,0.0003825725874,0.09316945518
79,Manhattan,East Village,-73.98521394,40.72794396,0.0001078930682,0.04262491131
80,Brooklyn,East Williamsburg,-73.94233581,40.71446207,0.0004073224562,0.1172126214
74,Manhattan,East Harlem North,-73.93831331,40.80556468,0.0002950384182,0.1102909363
85,Brooklyn,Erasmus,-73.95220892,40.64725485,0.0001436378049,0.05747514736
86,Queens,Far Rockaway,-73.7541915,40.60258754,0.0006232788152,0.1342452826
75,Manhattan,East Harlem South,-73.94495667,40.79064981,0.0002405639272,0.08766389977
76,Brooklyn,East New York,-73.87837882,40.6587031,0.001266601432,0.2412030163
77,Brooklyn,East New York/Pennsylvania Avenue,-73.89571715,40.66770172,0.0001919179813,0.07546108144
78,Bronx,East Tremont,-73.88664473,40.84601113,0.0001911144196,0.09359444958
81,Bronx,Eastchester,-73.84555133,40.87735976,0.0003995665502,0.1975927717
87,Manhattan,Financial District North,-74.00781099,40.70665828,6.72E-05,0.03690154961
82,Queens,Elmhurst,-73.8723464,40.73847115,0.00032360108,0.1198756497
83,Queens,Elmhurst/Maspeth,-73.88923451,40.74014965,0.0002174637187,0.1059849333
84,Staten Island,Eltingville/Annadale/Prince's Bay,-74.17395796,40.53201574,0.002073755721,0.233623987
88,Manhattan,Financial District South,-74.01130758,40.70339421,5.73E-05,0.03520460353
89,Brooklyn,Flatbush/Ditmas Park,-73.96269439,40.64098269,0.0004475481424,0.1227945696
90,Manhattan,Flatiron,-73.99677701,40.74254679,5.53E-05,0.03075916208
125,Manhattan,Hudson Sq,-74.00717607,40.72537614,7.64E-05,0.04973221218
91,Brooklyn,Flatlands,-73.93254325,40.62738904,0.0005373300132,0.1249966246
92,Queens,Flushing,-73.83044666,40.76412692,0.0003749466173,0.1178300668
93,Queens,Flushing Meadows-Corona Park,-73.84189714,40.739242,0.000594278184,0.1709980276
94,Bronx,Fordham South,-73.90059366,40.85825783,6.26E-05,0.04983260831
95,Queens,Forest Hills,-73.84822805,40.72347879,0.000572770338,0.1136296055
96,Queens,Forest Park/Highland Park,-73.87597267,40.69575973,0.0005475662534,0.1851802481
97,Brooklyn,Fort Greene,-73.97557705,40.69061725,0.0001633039704,0.06247601474
98,Queens,Fresh Meadows,-73.77956271,40.73384081,0.000485773021,0.1216610183
99,Staten Island,Freshkills Park,-74.18770489,40.57961709,0.001210164639,0.1833714893
100,Manhattan,Garment District,-73.9887859,40.75351403,3.75E-05,0.02481310903
101,Queens,Glen Oaks,-73.7090728,40.74374239,0.0004523425289,0.1017098363
102,Queens,Glendale,-73.88200932,40.70266754,0.0002965954663,0.1369004846
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,-74.04518092,40.6898599,6.33E-06,0.01430551673
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,-74.03913079,40.69867212,1.19E-05,0.02122083309
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,-74.01879445,40.68813766,0.0003686363928,0.07742533983
106,Brooklyn,Gowanus,-73.99176271,40.67336207,0.0001136168266,0.04921101198
107,Manhattan,Gramercy,-73.98331041,40.7373483,7.46E-05,0.03804136459
108,Brooklyn,Gravesend,-73.98037471,40.58910867,0.0003528660095,0.1111714123
109,Staten Island,Great Kills,-74.15272678,40.5488292,0.001169600762,0.1782678196
110,Staten Island,Great Kills Park,-74.12584858,40.54326474,0.0005257450988,0.1039462929
111,Brooklyn,Green-Wood Cemetery,-73.9909883,40.6521148,0.0002086832765,0.05993088007
112,Brooklyn,Greenpoint,-73.94848138,40.72883018,0.0004620686714,0.1072678758
113,Manhattan,Greenwich Village North,-73.99462809,40.73248529,5.80E-05,0.03274535057
114,Manhattan,Greenwich Village South,-73.99867809,40.72861251,4.70E-05,0.03172703477
115,Staten Island,Grymes Hill/Clifton,-74.09247375,40.62014121,0.000373168992,0.116169414
116,Manhattan,Hamilton Heights,-73.94736722,40.82753532,0.0002604153372,0.06811648443
117,Queens,Hammels/Arverne,-73.77609176,40.59609399,0.0009042942707,0.169885858
118,Staten Island,Heartland Village/Todt Hill,-74.13706456,40.58566355,0.001826939227,0.2439662177
119,Bronx,Highbridge,-73.92696003,40.83673391,0.0001857794475,0.08350703557
120,Manhattan,Highbridge Park,-73.93080686,40.84600407,9.31E-05,0.08326127022
149,Brooklyn,Madison,-73.94847338,40.6065537,0.000270639619,0.08368058218
150,Brooklyn,Manhattan Beach,-73.94288335,40.58025697,0.0003325680361,0.08933149118
121,Queens,Hillcrest/Pomonok,-73.79969598,40.72736752,0.0003845632865,0.09691533734
122,Queens,Hollis,-73.76157173,40.7110871,0.000226597105,0.06653184394
123,Brooklyn,Homecrest,-73.96519865,40.60020349,0.0002964451734,0.08342113894
124,Queens,Howard Beach,-73.85001672,40.65957182,0.0007548378215,0.1277244101
126,Bronx,Hunts Point,-73.88499141,40.81390513,0.0007032738273,0.1299487261
127,Manhattan,Inwood,-73.92032253,40.8650573,0.0001631956478,0.06001888558
128,Manhattan,Inwood Hill Park,-73.92543651,40.87218161,0.0002074059829,0.07020902907
129,Queens,Jackson Heights,-73.88740844,40.75906899,0.0004739883318,0.09327272734
134,Queens,Kew Gardens,-73.83000179,40.70876385,0.0002023751821,0.06958782233
151,Manhattan,Manhattan Valley,-73.96780678,40.79786723,0.0001288489019,0.0548899411
130,Queens,Jamaica,-73.80036129,40.70324251,0.0004683225143,0.1420283207
139,Queens,Laurelton,-73.74331647,40.67774877,0.0004466698802,0.09329978845
131,Queens,Jamaica Estates,-73.7713781,40.72037363,0.0004236961528,0.1165471209
132,Queens,JFK Airport,-73.77834068,40.64268311,0.002038300955,0.2454785171
133,Brooklyn,Kensington,-73.97433623,40.6393871,0.0001571889875,0.06513486316
140,Manhattan,Lenox Hill East,-73.95456794,40.76550672,0.0001142039078,0.04758429113
135,Queens,Kew Gardens Hills,-73.82398418,40.72942258,0.0004679122405,0.1217930457
136,Bronx,Kingsbridge Heights,-73.90572032,40.8648026,0.0001485249941,0.09062871541
137,Manhattan,Kips Bay,-73.97712049,40.74035752,0.0001164550989,0.04610762427
141,Manhattan,Lenox Hill West,-73.95971268,40.76683877,7.67E-05,0.04151446387
142,Manhattan,Lincoln Square East,-73.98135241,40.77390593,7.57E-05,0.03817589423
152,Manhattan,Manhattanville,-73.95432354,40.81757868,0.0001466376441,0.05790947688
138,Queens,LaGuardia Airport,-73.87283016,40.77487973,0.0005367972944,0.1074669335
143,Manhattan,Lincoln Square West,-73.98797218,40.77577115,0.000151094269,0.05417985388
144,Manhattan,Little Italy/NoLiTa,-73.99740673,40.72058154,4.75E-05,0.02762016685
145,Queens,Long Island City/Hunters Point,-73.94869313,40.74659396,0.0003466417338,0.114313845
146,Queens,Long Island City/Queens Plaza,-73.93363873,40.75452473,0.0001046389234,0.04714052157
147,Bronx,Longwood,-73.89819185,40.81919841,0.0001064181728,0.05876549493
148,Manhattan,Lower East Side,-73.99071887,40.71921043,6.97E-05,0.03913050156
153,Manhattan,Marble Hill,-73.91105281,40.87559609,3.25E-05,0.02473723902
154,Brooklyn,Marine Park/Floyd Bennett Field,-73.89612802,40.59313577,0.001789686924,0.2273315708
155,Brooklyn,Marine Park/Mill Basin,-73.90677633,40.61780196,0.0008682610185,0.169808473
156,Staten Island,Mariners Harbor,-74.16492852,40.62879358,0.001052121744,0.1444768905
159,Bronx,Melrose South,-73.91358512,40.81825907,0.0001712491039,0.06436323321
157,Queens,Maspeth,-73.90191897,40.72404025,0.0003543701283,0.1313002178
158,Manhattan,Meatpacking/West Village West,-74.00838576,40.73524802,0.000185568253,0.05480999055
160,Queens,Middle Village,-73.88073103,40.71852183,0.000571234978,0.141519143
161,Manhattan,Midtown Center,-73.97743184,40.7582264,7.19E-05,0.03580391006
162,Manhattan,Midtown East,-73.97214548,40.75681613,4.79E-05,0.03526981462
163,Manhattan,Midtown North,-73.9783669,40.7644253,4.09E-05,0.03417686698
164,Manhattan,Midtown South,-73.98592911,40.74880822,5.56E-05,0.03577161199
170,Manhattan,Murray Hill,-73.97694274,40.74765443,7.43E-05,0.04576900911
165,Brooklyn,Midwood,-73.95460369,40.62096216,0.000353959317,0.08860803621
166,Manhattan,Morningside Heights,-73.96181547,40.80956968,0.0002552762704,0.06882375429
167,Bronx,Morrisania/Melrose,-73.90444934,40.82798167,0.0001675293912,0.09081597373
178,Brooklyn,Ocean Parkway South,-73.9706897,40.61763337,0.0001758054091,0.06825287707
168,Bronx,Mott Haven/Port Morris,-73.91705963,40.80744831,0.0005470581004,0.1145174342
169,Bronx,Mount Hope,-73.90502187,40.84911469,0.0001460275377,0.06010465803
171,Queens,Murray Hill-Queens,-73.80887651,40.76894255,0.0005200995382,0.1073538762
172,Staten Island,New Dorp/Midland Beach,-74.10389173,40.57244842,0.0006584025014,0.1184761161
173,Queens,North Corona,-73.86307862,40.75176881,0.0001783298514,0.06006396614
174,Bronx,Norwood,-73.87775692,40.8768519,0.0001559286644,0.06781775596
175,Queens,Oakland Gardens,-73.75537747,40.74343073,0.0005049207261,0.1348976651
179,Queens,Old Astoria,-73.92681392,40.77142085,0.0001838934785,0.07138086444
176,Staten Island,Oakwood,-74.1195918,40.5620606,0.0006577821263,0.1519951907
177,Brooklyn,Ocean Hill,-73.91111365,40.67709867,0.0001988947622,0.07158054071
180,Queens,Ozone Park,-73.84937181,40.67517869,0.0002476821934,0.08052776715
181,Brooklyn,Park Slope,-73.97904359,40.67202099,0.0003068902928,0.08953723995
182,Bronx,Parkchester,-73.85794049,40.83739759,9.11E-05,0.03936063695
183,Bronx,Pelham Bay,-73.83185365,40.84956854,9.52E-05,0.03982629603
184,Bronx,Pelham Bay Park,-73.80460622,40.86480591,0.001988833631,0.260815683
185,Bronx,Pelham Parkway,-73.85517433,40.85345267,0.0002285371002,0.08616196816
186,Manhattan,Penn Station/Madison Sq West,-73.99245533,40.7484763,3.71E-05,0.02469639022
189,Brooklyn,Prospect Heights,-73.96826747,40.67718167,0.000101427594,0.04867433065
190,Brooklyn,Prospect Park,-73.97094836,40.66060693,0.0002708736665,0.07432946608
187,Staten Island,Port Richmond,-74.14114822,40.6254545,0.0004211957557,0.1268684313
188,Brooklyn,Prospect-Lefferts Gardens,-73.94519995,40.65755875,0.0003130030328,0.09779839684
191,Queens,Queens Village,-73.74112811,40.71430676,0.0006884606032,0.1309326377
192,Queens,Queensboro Hill,-73.8152012,40.74437566,0.000373808019,0.1119646197
193,Queens,Queensbridge/Ravenswood,-73.94028585,40.76172435,0.0001455916579,0.06552995848
194,Manhattan,Randalls Island,-73.9210244,40.79143694,0.0002734817027,0.08179383535
196,Queens,Rego Park,-73.86401357,40.72365252,0.0001974713336,0.08324211063
195,Brooklyn,Red Hook,-74.00955288,40.67546388,0.000801651954,0.1313082441
203,Queens,Rosedale,-73.73671822,40.65947874,0.0006151298617,0.1899378159
197,Queens,Richmond Hill,-73.82903085,40.69297308,0.0005046891604,0.1085685322
198,Queens,Ridgewood,-73.90198333,40.70453001,0.0004998098826,0.1340942428
199,Bronx,Rikers Island,-73.88353438,40.79203729,0.0002887475493,0.07780850052
212,Bronx,Soundview/Bruckner,-73.86990501,40.82829233,0.0001612761919,0.06712906534
213,Bronx,Soundview/Castle Hill,-73.86076092,40.81646786,0.0009040779063,0.1599587838
200,Bronx,Riverdale/North Riverdale/Fieldston,-73.90646344,40.89985153,0.0007446431686,0.1126617354
204,Staten Island,Rossville/Woodrow,-74.20696943,40.54074243,0.000641384266,0.1019124183
201,Queens,Rockaway Park,-73.84728062,40.57744987,0.0006193507478,0.1304041177
202,Manhattan,Roosevelt Island,-73.95041036,40.76116783,0.0001061753963,0.06992157126
205,Queens,Saint Albans,-73.7625885,40.69221614,0.0007662165135,0.1419533883
206,Staten Island,Saint George/New Brighton,-74.12316404,40.63597771,0.0009443925078,0.2127567934
207,Queens,Saint Michaels Cemetery/Woodside,-73.8993239,40.76350762,4.47E-05,0.02837568315
208,Bronx,Schuylerville/Edgewater Park,-73.82488696,40.82466576,0.00202032599,0.2147210096
209,Manhattan,Seaport,-74.00236033,40.7084905,3.89E-05,0.03069531135
210,Brooklyn,Sheepshead Bay,-73.94434292,40.59377539,0.0004531551313,0.1148519834
211,Manhattan,SoHo,-74.00137442,40.72389935,3.97E-05,0.02523450821
214,Staten Island,South Beach/Dongan Hills,-74.08588545,40.58661753,0.000811976523,0.1353003142
215,Queens,South Jamaica,-73.7903944,40.69416663,0.0003956470227,0.1035564536
216,Queens,South Ozone Park,-73.82051305,40.67707023,0.0008160766478,0.1167975547
217,Brooklyn,South Williamsburg,-73.95684084,40.70324955,0.0001147332708,0.05539052513
218,Queens,Springfield Gardens North,-73.77211715,40.67330221,0.0002812937364,0.0837008281
219,Queens,Springfield Gardens South,-73.76100847,40.66025613,0.0004281763368,0.1551266697
225,Brooklyn,Stuyvesant Heights,-73.93144974,40.68878496,0.0003108353952,0.08879920733
220,Bronx,Spuyten Duyvil/Kingsbridge,-73.9118816,40.8818912,0.0003130357445,0.1060159433
224,Manhattan,Stuy Town/Peter Cooper Village,-73.97784273,40.73172749,9.85E-05,0.04402044628
226,Queens,Sunnyside,-73.92931434,40.73526509,0.000761944145,0.168957762
221,Staten Island,Stapleton,-74.08132832,40.62023209,0.0008901115671,0.1662182208
222,Brooklyn,Starrett City,-73.88206132,40.64668985,0.0001302683439,0.0483893528
223,Queens,Steinway,-73.90665664,40.77820529,0.0007643607006,0.1660219253
227,Brooklyn,Sunset Park East,-74.00679504,40.64159694,0.0002683165295,0.08283015708
228,Brooklyn,Sunset Park West,-74.00996095,40.65361748,0.0009934147838,0.1776851777
229,Manhattan,Sutton Place/Turtle Bay North,-73.96517424,40.75658919,9.47E-05,0.04252529001
230,Manhattan,Times Sq/Theatre District,-73.98417616,40.75984468,5.61E-05,0.03102830968
231,Manhattan,TriBeCa/Civic Center,-74.00671168,40.71869665,0.000166929753,0.06342011656
239,Manhattan,Upper West Side South,-73.9782733,40.78410708,0.0002047154408,0.0636261153
232,Manhattan,Two Bridges/Seward Park,-73.98230749,40.71538428,0.0002160499735,0.06147090853
233,Manhattan,UN/Turtle Bay South,-73.97125455,40.74917369,0.0001161880947,0.04803591829
234,Manhattan,Union Sq,-73.99047762,40.74031339,7.31E-05,0.0360721995
235,Bronx,University Heights/Morris Heights,-73.91496798,40.85350263,0.0002128445473,0.07616684265
236,Manhattan,Upper East Side North,-73.95697238,40.78049139,0.0001028643452,0.04425192231
237,Manhattan,Upper East Side South,-73.96569149,40.76854181,9.60E-05,0.04221260034
238,Manhattan,Upper West Side North,-73.97281448,40.79176595,0.0001847636938,0.0601093114
240,Bronx,Van Cortlandt Park,-73.87906526,40.8947277,0.0007221309207,0.1460697644
241,Bronx,Van Cortlandt Village,-73.89645019,40.87597555,0.0002546769759,0.06876457776
258,Queens,Woodhaven,-73.85664593,40.69013957,0.0003662096171,0.08901337877
242,Bronx,Van Nest/Morris Park,-73.83987429,40.84961264,0.00036007245,0.1381364464
245,Staten Island,West Brighton,-74.10317823,40.62846582,0.0004661754143,0.09598305966
263,Manhattan,Yorkville West,-73.95120935,40.77849396,6.58E-05,0.0370166253
243,Manhattan,Washington Heights North,-73.93282471,40.8586701,0.0004383773415,0.09433149994
244,Manhattan,Washington Heights South,-73.94166788,40.84121884,0.000359702748,0.08056860446
253,Queens,Willets Point,-73.84147195,40.76009159,7.83E-05,0.03605149982
246,Manhattan,West Chelsea/Hudson Yards,-74.00451221,40.75243776,0.0002812983271,0.06946719374
247,Bronx,West Concourse,-73.92513265,40.82914584,0.0002056171578,0.09296785823
248,Bronx,West Farms/Bronx River,-73.87101158,40.83468754,0.0001495927698,0.05691911677
249,Manhattan,West Village,-74.00249691,40.73461128,7.22E-05,0.03638434365
257,Brooklyn,Windsor Terrace,-73.97723936,40.65366447,0.0001389094732,0.05866902598
250,Bronx,Westchester Village/Unionport,-73.84958094,40.83261248,0.000240975846,0.07962634655
251,Staten Island,Westerleigh,-74.12323249,40.61962221,0.0006257549832,0.1377111611
252,Queens,Whitestone,-73.81540245,40.78832894,0.001025264061,0.1580043736
254,Bronx,Williamsbridge/Olinville,-73.85827495,40.88321228,0.000360040216,0.08588637549
255,Brooklyn,Williamsburg (North Side),-73.95713401,40.71883824,0.0001723091848,0.06238419977
256,Brooklyn,Williamsburg (South Side),-73.95910849,40.71098028,0.000168611097,0.06791496696
259,Bronx,Woodlawn/Wakefield,-73.85639972,40.89908008,0.0003945524874,0.1267503052
260,Queens,Woodside,-73.903715,40.74679083,0.0004223453269,0.1335141546
261,Manhattan,World Trade Center,-74.01291956,40.7089752,3.43E-05,0.02712045636
262,Manhattan,Yorkville East,-73.94582992,40.77653654,0.000122330271,0.04906362315
